date,cost,mult,pnl
2026-03-31,50,5.2,210
2026-03-31,121,30.2,3527
2026-03-31,169,15.3,2428
2026-03-31,120,0.0,-120
2026-03-31,83,52.0,4243
2026-03-31,44,46.0,1994
2026-03-31,136,0.0,-136
2026-03-31,144,0.0,-144
2026-04-01,87,19.5,1618
2026-04-01,130,0.0,-130
2026-04-01,169,3.7,462
2026-04-01,113,0.0,-113
2026-04-01,140,87.7,12109
2026-04-01,95,2.7,164
2026-04-01,157,0.0,-157
2026-04-01,108,11.1,1094
2026-04-01,176,0.0,-176
2026-04-01,149,19.7,2785
2026-04-01,168,26.1,4213
2026-04-01,173,0.0,-173
2026-04-01,156,0.0,-156
2026-04-02,79,21.7,1626
2026-04-02,193,0.0,-193
2026-04-02,192,7.7,1288
2026-04-02,175,0.0,-175
2026-04-02,88,0.0,-88
2026-04-02,129,88.3,11269
2026-04-02,111,2.3,147
2026-04-02,165,0.0,-165
2026-04-02,129,12.6,1498
2026-04-02,162,0.7,-52
2026-04-02,140,21.0,2794
2026-04-02,193,24.8,4612
2026-04-02,176,0.0,-176
2026-04-02,155,0.0,-155
2026-04-05,67,0.0,-67
2026-04-05,4,0.0,-4
2026-04-05,12,0.0,-12
2026-04-05,9,0.0,-9
2026-04-06,181,14.1,2374
2026-04-06,183,0.0,-183
2026-04-06,166,3.8,465
2026-04-06,195,0.0,-195
2026-04-06,98,0.0,-98
2026-04-06,134,85.4,11265
2026-04-06,35,0.0,-35
2026-04-06,143,0.0,-143
2026-04-06,103,11.6,1099
2026-04-06,168,0.9,-12
2026-04-06,167,22.7,3617
2026-04-06,161,27.1,4220
2026-04-06,178,0.0,-178
2026-04-06,162,0.0,-162
2026-04-07,199,12.8,2355
2026-04-07,89,0.0,-89
2026-04-07,130,4.8,500
2026-04-07,183,0.0,-183
2026-04-07,162,0.0,-162
2026-04-07,135,84.7,11264
2026-04-07,89,2.9,169
2026-04-07,146,0.0,-146
2026-04-07,122,9.9,1080
2026-04-07,159,0.9,-21
2026-04-07,142,8.7,1092
2026-04-07,159,24.8,3797
2026-04-07,187,0.0,-187
2026-04-07,163,0.0,-163
2026-04-08,87,19.6,1618
2026-04-08,99,0.0,-99
2026-04-08,179,5.9,877
2026-04-08,158,0.0,-158
2026-04-08,115,0.0,-115
2026-04-08,98,2.6,161
2026-04-08,100,0.0,-100
2026-04-08,140,5.5,636
2026-04-08,159,1.5,76
2026-04-08,125,0.0,-125
2026-04-08,191,16.2,2915
2026-04-08,169,0.0,-169
2026-04-08,156,0.0,-156
2026-04-09,181,11.8,1950
